187.721794	203.990489	SlowCar aheadOf Lane1
198.343830	209.123816	FastCar behind Lane3
209.123816	216.231498	SlowCar aheadOf Lane2
213.625348	219.035084	SlowCar aheadOfLane1
231.039170	231.039170	Stoplight
256.034520	263.023742	Police Lane1
260.496566	266.617070	SlowCar ahead Lane2
265.471943	271.750396	FastCar behind Lane1
270.368347	276.923210	Police Lane3
296.745747	311.198034	RadioSequence
316.133925	320.990842	Police Lane1
317.318539	323.557505	SlowCar aheadOf Lane2
322.293917	326.676988	Police Lane3
323.162633	327.348269	FastCar behind Lane1
328.769805	332.126211	RadioSequence
0.000000	179.824369	Dialogue
180.337701	180.337701	[StartControl]
181.877699	223.181232	Dialogue
227.801226	263.773997	Dialogue
277.357568	304.287788	Dialogue
319.845715	327.308782	Dialogue
335.798514	355.857973	Dialogue
363.873860	417.655324	Dialogue
419.155835	419.155835	[Decision]
422.393779	422.393779	[EndControl]
422.393779	554.280778	[Explode]
430.172743	430.172743	[EndUI]
558.308465	628.437599	Sabotage
558.505900	558.505900	[EndControl]
588.002783	588.002783	[EndUI]
